id,name,time,location,host,url
"310911171","Exciting Collaboration with Leica NYC & Photo Shoot (Sat, Oct 18)","Sat, Oct 18 · 11:00 AM EDT","NYC","Sat, Oct 18 · 11:00 AM EDT","https://www.meetup.com/the-art-of-photography-nyc/events/310911171/?recId=588a0ee3-1b7a-4ca1-b972-fe8cd5785907&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"311064167","Biggest NYC Mandarin & Culture Mixer!","Sat, Sep 20 · 3:00 PM EDT","NYC","Sat, Sep 20 · 3:00 PM EDT","https://www.meetup.com/mandarin-chinese-language-and-culture-exchange/events/311064167/?recId=2e5d4660-6676-4db3-ba2f-1e1a15c13272&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310330602","New York Traders Happy Hour","Thu, Sep 25 · 6:00 PM EDT","NYC","Thu, Sep 25 · 6:00 PM EDT","https://www.meetup.com/new-york-traders/events/310330602/?recId=2e5d4660-6676-4db3-ba2f-1e1a15c13272&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310825944","Let’s Play Pickleball! Overpeck Park","Sun, Sep 21 · 2:30 PM EDT","NYC","Sun, Sep 21 · 2:30 PM EDT","https://www.meetup.com/north-jersey-bowling-soccer-volleyball/events/310825944/?recId=2e5d4660-6676-4db3-ba2f-1e1a15c13272&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310880674","💜 Speed Dating & NYC Mixer for Singles 50–64","Sat, Sep 27 · 5:30 PM EDT","NYC","Sat, Sep 27 · 5:30 PM EDT","https://www.meetup.com/4050plus-professional/events/310880674/?recId=2e5d4660-6676-4db3-ba2f-1e1a15c13272&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310820770","WordPress NYC Happy Hour","Tue, Sep 30 · 6:30 PM EDT","NYC","Tue, Sep 30 · 6:30 PM EDT","https://www.meetup.com/wordpressnyc/events/310820770/?recId=2e5d4660-6676-4db3-ba2f-1e1a15c13272&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310782840","Meditate NYC by Buddhist Council of NY (@ Village Zendo NYC)","Sat, Sep 20 · 1:00 PM EDT","NYC","Sat, Sep 20 · 1:00 PM EDT","https://www.meetup.com/dharmadrink/events/310782840/?recId=2e5d4660-6676-4db3-ba2f-1e1a15c13272&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310910301","[Register on Luma] The Ultimate NYC Startup Tech Mixer","Thu, Oct 2 · 5:30 PM EDT","NYC","Thu, Oct 2 · 5:30 PM EDT","https://www.meetup.com/startups-hq/events/310910301/?recId=2e5d4660-6676-4db3-ba2f-1e1a15c13272&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"307517709","Bear Mountain Free hike","Sun, Oct 19 · 7:30 AM EDT","NYC","Sun, Oct 19 · 7:30 AM EDT","https://www.meetup.com/neverwinter-free-hiking-and-cycling/events/307517709/?recId=2e5d4660-6676-4db3-ba2f-1e1a15c13272&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310178251","The Whole You: Learning to Navigate Your Inner Parts & Voices","Thu, Sep 25 · 7:00 PM EDT","NYC","Thu, Sep 25 · 7:00 PM EDT","https://www.meetup.com/buildonyourstrengths/events/310178251/?recId=2e5d4660-6676-4db3-ba2f-1e1a15c13272&recSource=ml-popular-events-nearby-online&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310772782","The September House - Carissa Orlando","Sat, Sep 20 · 2:00 PM EDT","NYC","Sat, Sep 20 · 2:00 PM EDT","https://www.meetup.com/meetup-group-fxzpcgzn/events/310772782/?recId=2e5d4660-6676-4db3-ba2f-1e1a15c13272&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310457653","Start your weekend at New York Historical's library","Fri, Oct 10 · 6:30 PM EDT","NYC","Fri, Oct 10 · 6:30 PM EDT","https://www.meetup.com/silentbookclubnyc/events/310457653/?recId=2e5d4660-6676-4db3-ba2f-1e1a15c13272&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"310892437","In person - FX and Options Trading - next to Penn station! - w/zoom*","Thu, Sep 25 · 6:00 PM EDT","NYC","Thu, Sep 25 · 6:00 PM EDT","https://www.meetup.com/traders-of-north-jersey-fx-stocks-and-options/events/310892437/?recId=2e5d4660-6676-4db3-ba2f-1e1a15c13272&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
"311065433","Let's go to the Poster House!!!","Fri, Oct 17 · 5:45 PM EDT","NYC","Fri, Oct 17 · 5:45 PM EDT","https://www.meetup.com/socially-awkward-but-im-trying/events/311065433/?recId=6bfaa386-ae68-497d-a103-fa8b941a70f4&recSource=ml-popular-events-nearby-offline&searchId=6f1eba82-0a93-4f98-af71-4793645e2159&eventOrigin=find_page%24all"
